IECC_Climate,sqft,ACH50,CDF
3A,3000,19,0.976
3A,3000,20,0.982
3A,3000,21,0.987
3A,3000,22,0.99
3A,3000,23,0.992
3A,3000,24,0.994
3A,3000,25,0.995
3A,3000,26,0.996
3A,3000,27,0.997
3A,3000,28,0.998
3A,3000,29,0.998
3A,3000,30,0.999
3A,3000,30,1
3A,3500,2,0.002
3A,3500,2.5,0.011
3A,3500,3,0.034
3A,3500,3.5,0.059
3A,3500,4,0.111
3A,3500,4.5,0.153
3A,3500,5,0.227
3A,3500,5.5,0.279
3A,3500,6,0.359
3A,3500,6.5,0.438
3A,3500,7,0.489
3A,3500,7.5,0.559
3A,3500,8,0.602
3A,3500,8.5,0.661
3A,3500,9,0.713
3A,3500,9.5,0.744
3A,3500,10,0.784
3A,3500,11,0.839
3A,3500,12,0.88
3A,3500,13,0.911
3A,3500,14,0.934
3A,3500,15,0.954
3A,3500,16,0.966
3A,3500,17,0.975
3A,3500,18,0.981
3A,3500,19,0.986
3A,3500,20,0.989
3A,3500,21,0.992
3A,3500,22,0.994
3A,3500,23,0.996
3A,3500,24,0.997
3A,3500,25,0.997
3A,3500,26,0.998
3A,3500,27,0.999
3A,3500,27,1
3A,4000,2,0.004
3A,4000,2.5,0.019
3A,4000,3,0.053
3A,4000,3.5,0.087
3A,4000,4,0.154
3A,4000,4.5,0.207
3A,4000,5,0.293
3A,4000,5.5,0.352
3A,4000,6,0.439
3A,4000,6.5,0.52
3A,4000,7,0.57
3A,4000,7.5,0.639
3A,4000,8,0.679
3A,4000,8.5,0.733
3A,4000,9,0.779
3A,4000,9.5,0.805
3A,4000,10,0.84
3A,4000,11,0.884
3A,4000,12,0.917
3A,4000,13,0.94
3A,4000,14,0.957
3A,4000,15,0.971
3A,4000,16,0.979
3A,4000,17,0.985
3A,4000,18,0.989
3A,4000,19,0.992
3A,4000,20,0.994
3A,4000,21,0.996
3A,4000,22,0.997
3A,4000,23,0.998
3A,4000,24,0.998
3A,4000,25,0.999
3A,4000,25,1
3B,1000,2.5,0.004
3B,1000,3,0.014
3B,1000,3.5,0.026
3B,1000,4,0.054
3B,1000,4.5,0.08
3B,1000,5,0.128
3B,1000,5.5,0.166
3B,1000,6,0.228
3B,1000,6.5,0.295
3B,1000,7,0.34
3B,1000,7.5,0.407
3B,1000,8,0.45
3B,1000,8.5,0.513
3B,1000,9,0.57
3B,1000,9.5,0.606
3B,1000,10,0.656
3B,1000,11,0.727
3B,1000,12,0.786
3B,1000,13,0.832
3B,1000,14,0.869
3B,1000,15,0.903
3B,1000,16,0.925
3B,1000,17,0.942
3B,1000,18,0.955
3B,1000,19,0.965
3B,1000,20,0.972
3B,1000,21,0.979
3B,1000,22,0.984
3B,1000,23,0.987
3B,1000,24,0.99
3B,1000,25,0.992
3B,1000,26,0.994
3B,1000,27,0.995
3B,1000,28,0.996
3B,1000,29,0.997
3B,1000,30,0.998
3B,1000,31,0.998
3B,1000,32,0.998
3B,1000,33,0.999
3B,1000,33,1
3B,1500,2.5,0.007
3B,1500,3,0.022
3B,1500,3.5,0.041
3B,1500,4,0.08
3B,1500,4.5,0.115
3B,1500,5,0.176
3B,1500,5.5,0.222
3B,1500,6,0.295
3B,1500,6.5,0.369
3B,1500,7,0.418
3B,1500,7.5,0.488
3B,1500,8,0.532
3B,1500,8.5,0.594
3B,1500,9,0.649
3B,1500,9.5,0.683
3B,1500,10,0.728
3B,1500,11,0.791
3B,1500,12,0.841
3B,1500,13,0.879
3B,1500,14,0.908
3B,1500,15,0.934
3B,1500,16,0.95
3B,1500,17,0.962
3B,1500,18,0.971
3B,1500,19,0.978
3B,1500,20,0.983
3B,1500,21,0.988
3B,1500,22,0.991
3B,1500,23,0.993
3B,1500,24,0.994
3B,1500,25,0.996
3B,1500,26,0.997
3B,1500,27,0.997
3B,1500,28,0.998
3B,1500,29,0.998
3B,1500,30,0.999
3B,1500,30,1
3B,2000,2,0.002
3B,2000,2.5,0.012
3B,2000,3,0.036
3B,2000,3.5,0.062
3B,2000,4,0.116
3B,2000,4.5,0.16
3B,2000,5,0.235
3B,2000,5.5,0.288
3B,2000,6,0.37
3B,2000,6.5,0.449
3B,2000,7,0.499
3B,2000,7.5,0.57
3B,2000,8,0.613
3B,2000,8.5,0.671
3B,2000,9,0.722
3B,2000,9.5,0.752
3B,2000,10,0.792
3B,2000,11,0.845
3B,2000,12,0.886
3B,2000,13,0.916
3B,2000,14,0.938
3B,2000,15,0.957
3B,2000,16,0.968
3B,2000,17,0.976
3B,2000,18,0.982
3B,2000,19,0.987
3B,2000,20,0.99
3B,2000,21,0.993
3B,2000,22,0.995
3B,2000,23,0.996
3B,2000,24,0.997
3B,2000,25,0.998
3B,2000,26,0.998
3B,2000,27,0.999
3B,2000,27,1
3B,2500,2,0.004
3B,2500,2.5,0.02
3B,2500,3,0.056
3B,2500,3.5,0.091
3B,2500,4,0.161
3B,2500,4.5,0.215
3B,2500,5,0.303
3B,2500,5.5,0.362
3B,2500,6,0.45
3B,2500,6.5,0.531
3B,2500,7,0.581
3B,2500,7.5,0.649
3B,2500,8,0.689
3B,2500,8.5,0.742
3B,2500,9,0.787
3B,2500,9.5,0.813
3B,2500,10,0.846
3B,2500,11,0.889
3B,2500,12,0.921
3B,2500,13,0.943
3B,2500,14,0.959
3B,2500,15,0.972
3B,2500,16,0.98
3B,2500,17,0.986
3B,2500,18,0.99
3B,2500,19,0.992
3B,2500,20,0.994
3B,2500,21,0.996
3B,2500,22,0.997
3B,2500,23,0.998
3B,2500,24,0.998
3B,2500,25,0.999
3B,2500,25,1
3B,3000,1.5,0.002
3B,3000,2,0.008
3B,3000,2.5,0.032
3B,3000,3,0.083
3B,3000,3.5,0.13
3B,3000,4,0.216
3B,3000,4.5,0.28
3B,3000,5,0.378
3B,3000,5.5,0.442
3B,3000,6,0.532
3B,3000,6.5,0.612
3B,3000,7,0.659
3B,3000,7.5,0.722
3B,3000,8,0.758
3B,3000,8.5,0.804
3B,3000,9,0.842
3B,3000,9.5,0.863
3B,3000,10,0.89
3B,3000,11,0.924
3B,3000,12,0.947
3B,3000,13,0.963
3B,3000,14,0.974
3B,3000,15,0.983
3B,3000,16,0.988
3B,3000,17,0.992
3B,3000,18,0.994
3B,3000,19,0.996
3B,3000,20,0.997
3B,3000,21,0.998
3B,3000,22,0.998
3B,3000,23,0.999
3B,3000,23,1
3B,3500,1.5,0.003
3B,3500,2,0.013
3B,3500,2.5,0.05
3B,3500,3,0.119
3B,3500,3.5,0.179
3B,3500,4,0.282
3B,3500,4.5,0.353
3B,3500,5,0.458
3B,3500,5.5,0.524
3B,3500,6,0.612
3B,3500,6.5,0.688
3B,3500,7,0.731
3B,3500,7.5,0.786
3B,3500,8,0.817
3B,3500,8.5,0.856
3B,3500,9,0.886
3B,3500,9.5,0.903
3B,3500,10,0.924
3B,3500,11,0.949
3B,3500,12,0.966
3B,3500,13,0.977
3B,3500,14,0.984
3B,3500,15,0.99
3B,3500,16,0.993
3B,3500,17,0.995
3B,3500,18,0.997
3B,3500,19,0.998
3B,3500,20,0.998
3B,3500,21,0.999
3B,3500,21,1
3B,4000,1.5,0.006
3B,4000,2,0.022
3B,4000,2.5,0.076
3B,4000,3,0.165
3B,4000,3.5,0.238
3B,4000,4,0.355
3B,4000,4.5,0.432
3B,4000,5,0.54
3B,4000,5.5,0.605
3B,4000,6,0.688
3B,4000,6.5,0.757
3B,4000,7,0.795
3B,4000,7.5,0.841
3B,4000,8,0.867
3B,4000,8.5,0.897
3B,4000,9,0.921
3B,4000,9.5,0.934
3B,4000,10,0.949
3B,4000,11,0.967
3B,4000,12,0.979
3B,4000,13,0.986
3B,4000,14,0.991
3B,4000,15,0.994
3B,4000,16,0.996
3B,4000,17,0.997
3B,4000,18,0.998
3B,4000,19,0.999
3B,4000,19,1
3C,1000,2.5,0.002
3C,1000,3,0.008
3C,1000,3.5,0.016
3C,1000,4,0.036
3C,1000,4.5,0.055
3C,1000,5,0.093
3C,1000,5.5,0.123
3C,1000,6,0.175
3C,1000,6.5,0.232
3C,1000,7,0.273
3C,1000,7.5,0.335
3C,1000,8,0.376
3C,1000,8.5,0.437
3C,1000,9,0.495
3C,1000,9.5,0.532
3C,1000,10,0.584
3C,1000,11,0.661
3C,1000,12,0.726
3C,1000,13,0.78
3C,1000,14,0.824
3C,1000,15,0.866
3C,1000,16,0.894
3C,1000,17,0.916
3C,1000,18,0.933
3C,1000,19,0.947
3C,1000,20,0.958
3C,1000,21,0.968
3C,1000,22,0.974
3C,1000,23,0.98
3C,1000,24,0.984
3C,1000,25,0.987
3C,1000,26,0.99
3C,1000,27,0.992
3C,1000,28,0.994
3C,1000,29,0.995
3C,1000,30,0.996
3C,1000,31,0.997
3C,1000,32,0.997
3C,1000,33,0.998
3C,1000,34,0.998
3C,1000,35,0.999
3C,1000,35,1
3C,1500,2.5,0.004
3C,1500,3,0.014
3C,1500,3.5,0.027
3C,1500,4,0.056
3C,1500,4.5,0.082
3C,1500,5,0.131
3C,1500,5.5,0.17
3C,1500,6,0.233
3C,1500,6.5,0.3
3C,1500,7,0.345
3C,1500,7.5,0.413
3C,1500,8,0.456
3C,1500,8.5,0.519
3C,1500,9,0.577
3C,1500,9.5,0.612
3C,1500,10,0.662
3C,1500,11,0.733
3C,1500,12,0.79
3C,1500,13,0.836
3C,1500,14,0.873
3C,1500,15,0.906
3C,1500,16,0.927
3C,1500,17,0.943
3C,1500,18,0.956
3C,1500,19,0.966
3C,1500,20,0.973
3C,1500,21,0.98
3C,1500,22,0.985
3C,1500,23,0.988
3C,1500,24,0.99
3C,1500,25,0.992
3C,1500,26,0.994
3C,1500,27,0.996
3C,1500,28,0.996
3C,1500,29,0.997
3C,1500,30,0.998
3C,1500,31,0.998
3C,1500,32,0.999
3C,1500,32,1
3C,2000,2.5,0.007
3C,2000,3,0.023
3C,2000,3.5,0.042
3C,2000,4,0.083
3C,2000,4.5,0.118
3C,2000,5,0.18
3C,2000,5.5,0.227
3C,2000,6,0.3
3C,2000,6.5,0.375
3C,2000,7,0.424
3C,2000,7.5,0.494
3C,2000,8,0.538
3C,2000,8.5,0.6
3C,2000,9,0.655
3C,2000,9.5,0.688
3C,2000,10,0.733
3C,2000,11,0.796
3C,2000,12,0.844
3C,2000,13,0.882
3C,2000,14,0.911
3C,2000,15,0.936
3C,2000,16,0.952
3C,2000,17,0.963
3C,2000,18,0.972
3C,2000,19,0.979
3C,2000,20,0.984
3C,2000,21,0.988
3C,2000,22,0.991
3C,2000,23,0.993
3C,2000,24,0.995
3C,2000,25,0.996
3C,2000,26,0.997
3C,2000,27,0.998
3C,2000,28,0.998
3C,2000,29,0.999
3C,2000,29,1
3C,2500,2,0.002
3C,2500,2.5,0.012
3C,2500,3,0.037
3C,2500,3.5,0.064
3C,2500,4,0.119
3C,2500,4.5,0.164
3C,2500,5,0.24
3C,2500,5.5,0.293
3C,2500,6,0.375
3C,2500,6.5,0.455
3C,2500,7,0.506
3C,2500,7.5,0.576
3C,2500,8,0.619
3C,2500,8.5,0.677
3C,2500,9,0.727
3C,2500,9.5,0.757
3C,2500,10,0.796
3C,2500,11,0.849
3C,2500,12,0.889
3C,2500,13,0.918
3C,2500,14,0.939
3C,2500,15,0.958
3C,2500,16,0.969
3C,2500,17,0.977
3C,2500,18,0.983
3C,2500,19,0.987
3C,2500,20,0.99
3C,2500,21,0.993
3C,2500,22,0.995
3C,2500,23,0.996
3C,2500,24,0.997
3C,2500,25,0.998
3C,2500,26,0.998
3C,2500,27,0.999
3C,2500,27,1
3C,3000,2,0.004
3C,3000,2.5,0.021
3C,3000,3,0.057
3C,3000,3.5,0.094
3C,3000,4,0.165
3C,3000,4.5,0.22
3C,3000,5,0.308
3C,3000,5.5,0.368
3C,3000,6,0.456
3C,3000,6.5,0.537
3C,3000,7,0.587
3C,3000,7.5,0.654
3C,3000,8,0.694
3C,3000,8.5,0.747
3C,3000,9,0.791
3C,3000,9.5,0.817
3C,3000,10,0.85
3C,3000,11,0.892
3C,3000,12,0.923
3C,3000,13,0.945
3C,3000,14,0.96
3C,3000,15,0.973
3C,3000,16,0.981
3C,3000,17,0.986
3C,3000,18,0.99
3C,3000,19,0.993
3C,3000,20,0.995
3C,3000,21,0.996
3C,3000,22,0.997
3C,3000,23,0.998
3C,3000,24,0.998
3C,3000,25,0.999
3C,3000,25,1
3C,3500,1.5,0.002
3C,3500,2,0.008
3C,3500,2.5,0.033
3C,3500,3,0.085
3C,3500,3.5,0.133
3C,3500,4,0.221
3C,3500,4.5,0.285
3C,3500,5,0.384
3C,3500,5.5,0.448
3C,3500,6,0.538
3C,3500,6.5,0.618
3C,3500,7,0.665
3C,3500,7.5,0.727
3C,3500,8,0.762
3C,3500,8.5,0.808
3C,3500,9,0.845
3C,3500,9.5,0.866
3C,3500,10,0.893
3C,3500,11,0.926
3C,3500,12,0.949
3C,3500,13,0.964
3C,3500,14,0.975
3C,3500,15,0.984
3C,3500,16,0.989
3C,3500,17,0.992
3C,3500,18,0.994
3C,3500,19,0.996
3C,3500,20,0.997
3C,3500,21,0.998
3C,3500,22,0.999
3C,3500,22,1
3C,4000,1.5,0.003
3C,4000,2,0.014
3C,4000,2.5,0.052
3C,4000,3,0.122
3C,4000,3.5,0.183
3C,4000,4,0.287
3C,4000,4.5,0.359
3C,4000,5,0.464
3C,4000,5.5,0.53
3C,4000,6,0.618
3C,4000,6.5,0.693
3C,4000,7,0.736
3C,4000,7.5,0.791
3C,4000,8,0.821
3C,4000,8.5,0.859
3C,4000,9,0.889
3C,4000,9.5,0.906
3C,4000,10,0.926
3C,4000,11,0.951
3C,4000,12,0.967
3C,4000,13,0.978
3C,4000,14,0.985
3C,4000,15,0.991
3C,4000,16,0.993
3C,4000,17,0.996
3C,4000,18,0.997
3C,4000,19,0.998
3C,4000,20,0.998
3C,4000,21,0.999
3C,4000,21,1
4A,1000,3.5,0.003
4A,1000,4,0.008
4A,1000,4.5,0.013
4A,1000,5,0.026
4A,1000,5.5,0.038
4A,1000,6,0.06
4A,1000,6.5,0.089
4A,1000,7,0.111
4A,1000,7.5,0.148
4A,1000,8,0.176
4A,1000,8.5,0.219
4A,1000,9,0.265
4A,1000,9.5,0.296
4A,1000,10,0.343
4A,1000,11,0.42
4A,1000,12,0.494
4A,1000,13,0.562
4A,1000,14,0.624
4A,1000,15,0.689
4A,1000,16,0.736
4A,1000,17,0.777
4A,1000,18,0.812
4A,1000,19,0.841
4A,1000,20,0.866
4A,1000,21,0.892
4A,1000,22,0.909
4A,1000,23,0.924
4A,1000,24,0.936
4A,1000,25,0.946
4A,1000,26,0.955
4A,1000,27,0.963
4A,1000,28,0.969
4A,1000,29,0.974
4A,1000,30,0.978
4A,1000,31,0.982
4A,1000,32,0.984
4A,1000,33,0.987
4A,1000,34,0.989
4A,1000,35,0.991
4A,1000,36,0.992
4A,1000,37,0.993
4A,1000,38,0.994
4A,1000,39,0.995
4A,1000,40,0.996
4A,1000,41,0.997
4A,1000,42,0.997
4A,1000,43,0.998
4A,1000,44,0.998
4A,1000,45,0.998
4A,1000,46,0.998
4A,1000,47,0.999
4A,1000,47,1
4A,1500,3,0.002
4A,1500,3.5,0.005
4A,1500,4,0.014
4A,1500,4.5,0.022
4A,1500,5,0.041
4A,1500,5.5,0.058
4A,1500,6,0.089
4A,1500,6.5,0.127
4A,1500,7,0.155
4A,1500,7.5,0.201
4A,1500,8,0.234
4A,1500,8.5,0.285
4A,1500,9,0.336
4A,1500,9.5,0.37
4A,1500,10,0.421
4A,1500,11,0.502
4A,1500,12,0.576
4A,1500,13,0.642
4A,1500,14,0.699
4A,1500,15,0.758
4A,1500,16,0.799
4A,1500,17,0.833
4A,1500,18,0.862
4A,1500,19,0.886
4A,1500,20,0.906
4A,1500,21,0.925
4A,1500,22,0.938
4A,1500,23,0.949
4A,1500,24,0.958
4A,1500,25,0.965
4A,1500,26,0.971
4A,1500,27,0.977
4A,1500,28,0.981
4A,1500,29,0.984
4A,1500,30,0.987
4A,1500,31,0.989
4A,1500,32,0.991
4A,1500,33,0.993
4A,1500,34,0.994
4A,1500,35,0.995
4A,1500,36,0.996
4A,1500,37,0.996
4A,1500,38,0.997
4A,1500,39,0.998
4A,1500,40,0.998
4A,1500,41,0.998
4A,1500,42,0.999
4A,1500,42,1
4A,2000,3,0.005
4A,2000,3.5,0.01
4A,2000,4,0.023
4A,2000,4.5,0.036
4A,2000,5,0.063
4A,2000,5.5,0.086
4A,2000,6,0.127
4A,2000,6.5,0.175
4A,2000,7,0.209
4A,2000,7.5,0.264
4A,2000,8,0.302
4A,2000,8.5,0.358
4A,2000,9,0.414
4A,2000,9.5,0.45
4A,2000,10,0.503
4A,2000,11,0.583
4A,2000,12,0.654
4A,2000,13,0.715
4A,2000,14,0.767
4A,2000,15,0.817
4A,2000,16,0.852
4A,2000,17,0.88
4A,2000,18,0.902
4A,2000,19,0.921
4A,2000,20,0.936
4A,2000,21,0.95
4A,2000,22,0.96
4A,2000,23,0.967
4A,2000,24,0.973
4A,2000,25,0.978
4A,2000,26,0.982
4A,2000,27,0.986
4A,2000,28,0.989
4A,2000,29,0.991
4A,2000,30,0.992
4A,2000,31,0.994
4A,2000,32,0.995
4A,2000,33,0.996
4A,2000,34,0.997
4A,2000,35,0.997
4A,2000,36,0.998
4A,2000,37,0.998
4A,2000,38,0.998
4A,2000,39,0.999
4A,2000,39,1
4A,2500,2.5,0.002
4A,2500,3,0.008
4A,2500,3.5,0.016
4A,2500,4,0.036
4A,2500,4.5,0.055
4A,2500,5,0.093
4A,2500,5.5,0.123
4A,2500,6,0.175
4A,2500,6.5,0.233
4A,2500,7,0.273
4A,2500,7.5,0.335
4A,2500,8,0.377
4A,2500,8.5,0.437
4A,2500,9,0.495
4A,2500,9.5,0.532
4A,2500,10,0.584
4A,2500,11,0.661
4A,2500,12,0.727
4A,2500,13,0.781
4A,2500,14,0.825
4A,2500,15,0.867
4A,2500,16,0.894
4A,2500,17,0.916
4A,2500,18,0.933
4A,2500,19,0.947
4A,2500,20,0.958
4A,2500,21,0.968
4A,2500,22,0.975
4A,2500,23,0.98
4A,2500,24,0.984
4A,2500,25,0.987
4A,2500,26,0.99
4A,2500,27,0.992
4A,2500,28,0.994
4A,2500,29,0.995
4A,2500,30,0.996
4A,2500,31,0.997
4A,2500,32,0.997
4A,2500,33,0.998
4A,2500,34,0.998
4A,2500,35,0.999
4A,2500,35,1
4A,3000,2.5,0.004
4A,3000,3,0.014
4A,3000,3.5,0.027
4A,3000,4,0.056
4A,3000,4.5,0.082
4A,3000,5,0.132
4A,3000,5.5,0.17
4A,3000,6,0.233
4A,3000,6.5,0.3
4A,3000,7,0.346
4A,3000,7.5,0.413
4A,3000,8,0.457
4A,3000,8.5,0.519
4A,3000,9,0.577
4A,3000,9.5,0.613
4A,3000,10,0.662
4A,3000,11,0.733
4A,3000,12,0.791
4A,3000,13,0.837
4A,3000,14,0.873
4A,3000,15,0.906
4A,3000,16,0.927
4A,3000,17,0.944
4A,3000,18,0.956
4A,3000,19,0.966
4A,3000,20,0.973
4A,3000,21,0.98
4A,3000,22,0.985
4A,3000,23,0.988
4A,3000,24,0.99
4A,3000,25,0.993
4A,3000,26,0.994
4A,3000,27,0.996
4A,3000,28,0.996
4A,3000,29,0.997
4A,3000,30,0.998
4A,3000,31,0.998
4A,3000,32,0.999
4A,3000,32,1
4A,3500,2.5,0.007
4A,3500,3,0.023
4A,3500,3.5,0.042
4A,3500,4,0.083
4A,3500,4.5,0.118
4A,3500,5,0.181
4A,3500,5.5,0.227
4A,3500,6,0.301
4A,3500,6.5,0.376
4A,3500,7,0.425
4A,3500,7.5,0.495
4A,3500,8,0.539
4A,3500,8.5,0.6
4A,3500,9,0.656
4A,3500,9.5,0.689
4A,3500,10,0.734
4A,3500,11,0.796
4A,3500,12,0.845
4A,3500,13,0.882
4A,3500,14,0.911
4A,3500,15,0.936
4A,3500,16,0.952
4A,3500,17,0.963
4A,3500,18,0.972
4A,3500,19,0.979
4A,3500,20,0.984
4A,3500,21,0.988
4A,3500,22,0.991
4A,3500,23,0.993
4A,3500,24,0.995
4A,3500,25,0.996
4A,3500,26,0.997
4A,3500,27,0.998
4A,3500,28,0.998
4A,3500,29,0.999
4A,3500,29,1
4A,4000,2,0.002
4A,4000,2.5,0.012
4A,4000,3,0.037
4A,4000,3.5,0.064
4A,4000,4,0.119
4A,4000,4.5,0.164
4A,4000,5,0.24
4A,4000,5.5,0.294
4A,4000,6,0.376
4A,4000,6.5,0.456
4A,4000,7,0.506
4A,4000,7.5,0.577
4A,4000,8,0.619
4A,4000,8.5,0.677
4A,4000,9,0.728
4A,4000,9.5,0.758
4A,4000,10,0.797
4A,4000,11,0.85
4A,4000,12,0.889
4A,4000,13,0.918
4A,4000,14,0.94
4A,4000,15,0.958
4A,4000,16,0.969
4A,4000,17,0.977
4A,4000,18,0.983
4A,4000,19,0.987
4A,4000,20,0.991
4A,4000,21,0.993
4A,4000,22,0.995
4A,4000,23,0.996
4A,4000,24,0.997
4A,4000,25,0.998
4A,4000,26,0.998
4A,4000,27,0.999
4A,4000,27,1
